County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Date
Alameda,4,72,2622,4040,898,102,7738,Q1 2025
Alpine,0,0,20,2,0,0,22,Q1 2025
Amador,0,0,55,4,8,0,67,Q1 2025
Butte,0,0,175,99,41,0,315,Q1 2025
Calaveras,0,2,19,6,21,0,48,Q1 2025
Colusa,0,0,21,7,19,0,47,Q1 2025
Contra Costa,2,2,1151,960,447,8,2570,Q1 2025
Del Norte,0,0,27,4,30,0,61,Q1 2025
El Dorado,1,0,224,15,107,1,348,Q1 2025
Fresno,23,0,882,583,426,8,1922,Q1 2025
Glenn,0,0,7,7,22,0,36,Q1 2025
Humboldt,0,0,231,10,78,0,319,Q1 2025
Imperial,0,0,46,32,76,1,155,Q1 2025
Inyo,0,0,44,9,85,1,139,Q1 2025
Kern,5,1,617,302,523,2,1450,Q1 2025
Kings,0,0,120,248,124,0,492,Q1 2025
Lake,0,0,82,16,9,0,107,Q1 2025
Lassen,0,1,12,2,8,0,23,Q1 2025
Los Angeles,41,121,25337,44336,2944,215,72994,Q1 2025
Madera,0,1,124,63,87,1,276,Q1 2025
Marin,1,0,689,558,122,2,1372,Q1 2025
Mariposa,0,0,100,9,32,0,141,Q1 2025
Mendocino,0,0,229,47,63,0,339,Q1 2025
Merced,10,0,137,50,83,0,280,Q1 2025
Modoc,0,0,6,0,9,0,15,Q1 2025
Mono,0,0,33,19,40,0,92,Q1 2025
Monterey,2,0,444,100,236,5,787,Q1 2025
Napa,0,0,617,78,70,0,765,Q1 2025
Nevada,0,0,72,65,69,0,206,Q1 2025
Orange,20,0,4848,3756,1315,43,9982,Q1 2025
Placer,0,1,373,195,272,14,855,Q1 2025
Plumas,0,0,19,5,8,0,32,Q1 2025
Riverside,0,1,1887,392,721,17,3018,Q1 2025
Sacramento,80,18,1953,1170,481,2,3704,Q1 2025
San Benito,0,0,24,10,25,2,61,Q1 2025
San Bernardino,1,9,1447,567,1169,34,3227,Q1 2025
