Station Number,Station Name,Open Retail Status,Address,City,State,Zip Code,County,Number of Stations,Latitude,Longitude,Fueling Positions
1,Diamond Bar,Light-Duty Open Retail,21865 E. Copley Drive,Diamond Bar,CA,91765,Los Angeles,1,34.0010516,-117.83159,1
2,West Sacramento,Light-Duty Open Retail,1515 S. River Road,West Sacramento,CA,95691,Yolo,1,38.569456,-121.5239562,2
3,San Juan Capistrano,Light-Duty Open Retail,26572 Junipero Serra Rd.,San Juan Capistrano,CA,92675,Orange,1,33.5197168,-117.6692815,2
4,Fairfax,Light-Duty Open Retail,7751 Beverly Blvd.,Los Angeles,CA,90036,Los Angeles,1,34.0763981,-118.360874,1
5,Lawndale,Light-Duty Open Retail,15606 Inglewood Ave.,Lawndale,CA,90260,Los Angeles,1,33.8894198,-118.3632137,1
6,Woodland Hills,Light-Duty Open Retail,5314 Topanga Canyon Rd.,Woodland Hills,CA,91364,Los Angeles,1,34.1664593,-118.6075399,1
7,Mountain View,Light-Duty Open Retail,830 Leong Dr.,Mountain View,CA,94043,Santa Clara,1,37.4051407,-122.0690881,1
8,CSULA,Temporarily Non-Operational,5151 State University Dr.,Los Angeles,CA,90032,Los Angeles,1,34.0620435,-118.1758474,1
9,Harris Ranch,Light-Duty Open Retail,24505 W. Dorris Ave.,Coalinga,CA,93210,Fresno,1,36.2491542,-120.2424817,1
10,South San Francisco,Light-Duty Open Retail,248 S. Airport Blvd.,South San Francisco,CA,94080,San Mateo,1,37.6479527,-122.4080995,1
11,San Jose - N. 1st,Light-Duty Open Retail,2101 N. 1st St.,San Jose,CA,95131,Santa Clara,1,37.3733553,-121.9210615,1
12,Long Beach,Temporarily Non-Operational,3401 Long Beach Blvd.,Long Beach,CA,90807,Los Angeles,1,33.8192302,-118.1919115,1
13,Riverside,Temporarily Non-Operational,8095 Lincoln Ave.,Riverside,CA,92504,Riverside,1,33.9239256,-117.4121106,1
14,Costa Mesa,Light-Duty Open Retail,2050 Harbor Blvd.,Costa Mesa,CA,92627,Orange,1,33.6487448,-117.9209787,1
15,La Canada Flintridge,Light-Duty Open Retail,550 Foothill Blvd.,La Canada Flintridge,CA,91011,Los Angeles,1,34.2000408,-118.1934196,1
