Data Year,Quarter,COUNTY,ZEV Sales,Total LDV Sales,ZEV Sales Share
2025,1,Alameda,5525,14812,37%
2025,1,Alpine,0,3,0%
2025,1,Amador,31,234,13%
2025,1,Butte,118,1109,11%
2025,1,Calaveras,38,311,12%
2025,1,Colusa,13,144,9%
2025,1,Contra Costa,3315,10747,31%
2025,1,Del Norte,6,86,7%
2025,1,El Dorado,382,1625,24%
2025,1,Fresno,871,6433,14%
2025,1,Glenn,10,155,6%
2025,1,Humboldt,79,591,13%
2025,1,Imperial,181,1925,9%
2025,1,Inyo,14,158,9%
2025,1,Kern,799,5962,13%
2025,1,Kings,89,864,10%
2025,1,Lake,30,260,12%
2025,1,Lassen,5,110,5%
2025,1,Los Angeles,29107,127464,23%
2025,1,Madera,110,873,13%
2025,1,Marin,1316,3330,40%
2025,1,Mariposa,8,85,9%
2025,1,Mendocino,57,439,13%
2025,1,Merced,162,1204,13%
2025,1,Modoc,2,32,6%
2025,1,Mono,11,82,13%
2025,1,Monterey,506,2870,18%
2025,1,Napa,335,1162,29%
2025,1,Nevada,131,616,21%
2025,1,Orange,12482,43021,29%
2025,1,Out Of State,937,29070,3%
2025,1,Placer,1176,4549,26%
2025,1,Plumas,8,78,10%
2025,1,Riverside,4941,25573,19%
2025,1,Sacramento,2887,11483,25%
2025,1,San Benito,115,554,21%
2025,1,San Bernardino,3776,20753,18%
2025,1,San Diego,8817,36246,24%
2025,1,San Francisco,2180,6252,35%
2025,1,San Joaquin,1150,5725,20%
2025,1,San Luis Obispo,427,2120,20%
2025,1,San Mateo,3312,13823,24%
2025,1,Santa Barbara,688,3365,20%
2025,1,Santa Clara,8594,21250,40%
2025,1,Santa Cruz,452,1820,25%
2025,1,Shasta,111,1081,10%
2025,1,Sierra,3,24,13%
2025,1,Siskiyou,19,209,9%
2025,1,Solano,696,3429,20%
2025,1,Sonoma,919,3813,24%
2025,1,Stanislaus,529,3281,16%
2025,1,Sutter,72,676,11%
2025,1,Tehama,25,293,9%
2025,1,Trinity,2,42,5%
2025,1,Tulare,238,2694,9%
2025,1,Tuolumne,34,303,11%
2025,1,Ventura,2048,8868,23%
2025,1,Yolo,374,1895,20%
2025,1,Yuba,63,420,15%
2025,2,Alameda,5052,15054,34%
2025,2,Alpine,2,12,17%
2025,2,Amador,26,235,11%
2025,2,Butte,115,1230,9%
2025,2,Calaveras,48,315,15%
2025,2,Colusa,6,137,4%
2025,2,Contra Costa,3144,11344,28%
2025,2,Del Norte,9,107,8%
2025,2,El Dorado,368,1723,21%
2025,2,Fresno,978,7164,14%
2025,2,Glenn,8,144,6%
2025,2,Humboldt,77,651,12%
2025,2,Imperial,138,2301,6%
2025,2,Inyo,8,159,5%
2025,2,Kern,860,7057,12%
2025,2,Kings,98,1002,10%
2025,2,Lake,31,260,12%
2025,2,Lassen,3,108,3%
2025,2,Los Angeles,29395,132443,22%
2025,2,Madera,157,1046,15%
2025,2,Marin,1101,3210,34%
2025,2,Mariposa,8,77,10%
2025,2,Mendocino,54,431,13%
2025,2,Merced,160,1595,10%
2025,2,Modoc,3,45,7%
2025,2,Mono,12,122,10%
2025,2,Monterey,491,3193,15%
2025,2,Napa,342,1223,28%
2025,2,Nevada,134,645,21%
2025,2,Orange,12660,45645,28%
2025,2,Out Of State,1398,29172,5%
2025,2,Placer,1216,4908,25%
2025,2,Plumas,5,99,5%
2025,2,Riverside,5221,28300,18%
2025,2,Sacramento,3016,12346,24%
2025,2,San Benito,98,645,15%
2025,2,San Bernardino,3794,22369,17%
2025,2,San Diego,8779,38267,23%
2025,2,San Francisco,2002,6341,32%
2025,2,San Joaquin,1273,6342,20%
2025,2,San Luis Obispo,440,2398,18%
2025,2,San Mateo,3607,18780,19%
2025,2,Santa Barbara,709,3675,19%
2025,2,Santa Clara,7961,21981,36%
2025,2,Santa Cruz,386,1825,21%
2025,2,Shasta,105,1136,9%
2025,2,Sierra,0,15,0%
2025,2,Siskiyou,7,189,4%
2025,2,Solano,740,3901,19%
2025,2,Sonoma,834,3995,21%
2025,2,Stanislaus,557,3599,15%
2025,2,Sutter,94,693,14%
2025,2,Tehama,18,306,6%
2025,2,Trinity,3,47,6%
2025,2,Tulare,311,3053,10%
2025,2,Tuolumne,30,307,10%
2025,2,Ventura,2177,9665,23%
2025,2,Yolo,335,1732,19%
2025,2,Yuba,67,503,13%
2024,1,Alameda,5693,14884,38%
2024,1,Alpine,1,10,10%
2024,1,Amador,26,207,13%
2024,1,Butte,130,1106,12%
2024,1,Calaveras,40,297,13%
2024,1,Colusa,7,129,5%
2024,1,Contra Costa,3447,11013,31%
2024,1,Del Norte,6,89,7%
2024,1,El Dorado,351,1588,22%
2024,1,Fresno,810,6108,13%
2024,1,Glenn,10,149,7%
2024,1,Humboldt,77,593,13%
2024,1,Imperial,100,1972,5%
2024,1,Inyo,15,125,12%
2024,1,Kern,647,5926,11%
2024,1,Kings,71,861,8%
2024,1,Lake,26,248,10%
2024,1,Lassen,3,72,4%
2024,1,Los Angeles,30214,121983,25%
2024,1,Madera,94,788,12%
2024,1,Marin,1205,3042,40%
2024,1,Mariposa,6,57,11%
2024,1,Mendocino,68,420,16%
2024,1,Merced,137,1320,10%
2024,1,Modoc,2,37,5%
2024,1,Mono,11,100,11%
2024,1,Monterey,497,2826,18%
2024,1,Napa,297,1171,25%
2024,1,Nevada,121,579,21%
2024,1,Orange,12365,42806,29%
2024,1,Out Of State,2408,30526,8%
2024,1,Placer,1223,4475,27%
2024,1,Plumas,2,100,2%
2024,1,Riverside,4967,25290,20%
2024,1,Sacramento,2713,11126,24%
2024,1,San Benito,106,554,19%
2024,1,San Bernardino,3648,20201,18%
2024,1,San Diego,9094,36092,25%
2024,1,San Francisco,2263,6458,35%
2024,1,San Joaquin,1174,5782,20%
2024,1,San Luis Obispo,489,2195,22%
2024,1,San Mateo,2959,12683,23%
2024,1,Santa Barbara,706,3424,21%
2024,1,Santa Clara,8942,21661,41%
2024,1,Santa Cruz,477,1853,26%
2024,1,Shasta,107,1042,10%
2024,1,Sierra,1,16,6%
2024,1,Siskiyou,10,193,5%
2024,1,Solano,690,3387,20%
2024,1,Sonoma,954,3835,25%
2024,1,Stanislaus,357,3032,12%
2024,1,Sutter,80,645,12%
2024,1,Tehama,19,282,7%
2024,1,Trinity,4,56,7%
2024,1,Tulare,220,2734,8%
2024,1,Tuolumne,38,316,12%
2024,1,Ventura,2340,9356,25%
2024,1,Yolo,497,1909,26%
2024,1,Yuba,52,352,15%
2024,2,Alameda,5674,14588,39%
2024,2,Alpine,4,10,40%
2024,2,Amador,36,240,15%
2024,2,Butte,119,1133,11%
2024,2,Calaveras,49,322,15%
2024,2,Colusa,8,160,5%
2024,2,Contra Costa,3906,11238,35%
2024,2,Del Norte,11,137,8%
2024,2,El Dorado,424,1720,25%
2024,2,Fresno,936,6254,15%
2024,2,Glenn,7,170,4%
2024,2,Humboldt,99,609,16%
2024,2,Imperial,127,2376,5%
2024,2,Inyo,14,139,10%
2024,2,Kern,766,6661,11%
2024,2,Kings,83,904,9%
2024,2,Lake,33,267,12%
2024,2,Lassen,3,97,3%
2024,2,Los Angeles,33435,122941,27%
2024,2,Madera,122,907,13%
2024,2,Marin,1213,2939,41%
2024,2,Mariposa,15,85,18%
2024,2,Mendocino,54,430,13%
2024,2,Merced,157,1402,11%
2024,2,Modoc,0,26,0%
2024,2,Mono,7,84,8%
2024,2,Monterey,543,2853,19%
2024,2,Napa,331,1197,28%
2024,2,Nevada,121,558,22%
2024,2,Orange,14702,44972,33%
2024,2,Out Of State,3899,37744,10%
2024,2,Placer,1402,4666,30%
2024,2,Plumas,11,93,12%
2024,2,Riverside,5902,27136,22%
2024,2,Sacramento,3389,12019,28%
2024,2,San Benito,116,556,21%
2024,2,San Bernardino,4468,22055,20%
2024,2,San Diego,10097,37315,27%
2024,2,San Francisco,2245,6270,36%
2024,2,San Joaquin,1497,6342,24%
2024,2,San Luis Obispo,469,2130,22%
2024,2,San Mateo,3763,15131,25%
2024,2,Santa Barbara,745,3347,22%
2024,2,Santa Clara,9382,21704,43%
2024,2,Santa Cruz,473,1803,26%
2024,2,Shasta,117,1078,11%
2024,2,Sierra,2,20,10%
2024,2,Siskiyou,23,223,10%
2024,2,Solano,915,3881,24%
2024,2,Sonoma,972,3851,25%
2024,2,Stanislaus,560,3496,16%
2024,2,Sutter,81,648,13%
2024,2,Tehama,23,304,8%
2024,2,Trinity,8,55,15%
2024,2,Tulare,265,2646,10%
2024,2,Tuolumne,42,310,14%
2024,2,Ventura,2469,9600,26%
2024,2,Yolo,398,1596,25%
2024,2,Yuba,82,453,18%
2024,3,Alameda,5510,14901,37%
2024,3,Alpine,1,15,7%
2024,3,Amador,37,243,15%
2024,3,Butte,122,1105,11%
2024,3,Calaveras,53,310,17%
2024,3,Colusa,9,149,6%
2024,3,Contra Costa,3750,11586,32%
2024,3,Del Norte,15,104,14%
2024,3,El Dorado,409,1732,24%
2024,3,Fresno,1019,7166,14%
2024,3,Glenn,9,153,6%
2024,3,Humboldt,101,649,16%
2024,3,Imperial,198,2599,8%
2024,3,Inyo,13,141,9%
2024,3,Kern,872,6719,13%
2024,3,Kings,90,1027,9%
2024,3,Lake,32,281,11%
2024,3,Lassen,3,100,3%
2024,3,Los Angeles,33169,117466,28%
2024,3,Madera,138,1044,13%
2024,3,Marin,1234,3119,40%
2024,3,Mariposa,7,67,10%
2024,3,Mendocino,73,485,15%
2024,3,Merced,215,1514,14%
2024,3,Modoc,1,32,3%
2024,3,Mono,11,109,10%
2024,3,Monterey,525,2830,19%
2024,3,Napa,407,1295,31%
2024,3,Nevada,123,643,19%
2024,3,Orange,14097,45703,31%
2024,3,Out Of State,1555,21695,7%
2024,3,Placer,1336,4827,28%
2024,3,Plumas,13,112,12%
2024,3,Riverside,5987,27420,22%
2024,3,Sacramento,3689,12856,29%
2024,3,San Benito,125,552,23%
2024,3,San Bernardino,4573,22740,20%
2024,3,San Diego,9968,37392,27%
2024,3,San Francisco,2371,6479,37%
2024,3,San Joaquin,1454,6593,22%
2024,3,San Luis Obispo,496,2201,23%
2024,3,San Mateo,3210,13478,24%
2024,3,Santa Barbara,825,3605,23%
2024,3,Santa Clara,10579,24179,44%
2024,3,Santa Cruz,475,1751,27%
2024,3,Shasta,127,1053,12%
2024,3,Sierra,3,15,20%
2024,3,Siskiyou,18,214,8%
2024,3,Solano,878,3636,24%
2024,3,Sonoma,1001,3992,25%
2024,3,Stanislaus,605,3577,17%
2024,3,Sutter,82,716,11%
2024,3,Tehama,27,289,9%
2024,3,Trinity,3,45,7%
2024,3,Tulare,322,3168,10%
2024,3,Tuolumne,37,303,12%
2024,3,Ventura,2734,10193,27%
2024,3,Yolo,420,1818,23%
2024,3,Yuba,84,480,18%
2024,4,Alameda,5443,14798,37%
2024,4,Alpine,1,10,10%
2024,4,Amador,41,242,17%
2024,4,Butte,143,1075,13%
2024,4,Calaveras,35,318,11%
2024,4,Colusa,8,141,6%
2024,4,Contra Costa,3633,11240,32%
2024,4,Del Norte,3,100,3%
2024,4,El Dorado,383,1696,23%
2024,4,Fresno,915,6371,14%
2024,4,Glenn,12,139,9%
2024,4,Humboldt,97,599,16%
2024,4,Imperial,242,2247,11%
2024,4,Inyo,11,161,7%
2024,4,Kern,779,6661,12%
2024,4,Kings,88,996,9%
2024,4,Lake,33,273,12%
2024,4,Lassen,6,120,5%
2024,4,Los Angeles,31482,121547,26%
2024,4,Madera,137,966,14%
2024,4,Marin,1279,3194,40%
2024,4,Mariposa,12,88,14%
2024,4,Mendocino,71,410,17%
2024,4,Merced,191,1416,13%
2024,4,Modoc,3,28,11%
2024,4,Mono,9,110,8%
2024,4,Monterey,489,2909,17%
2024,4,Napa,362,1252,29%
2024,4,Nevada,154,734,21%
2024,4,Orange,13419,44463,30%
2024,4,Out Of State,1261,23937,5%
2024,4,Placer,1200,4608,26%
2024,4,Plumas,5,102,5%
2024,4,Riverside,5346,27152,20%
2024,4,Sacramento,3530,12431,28%
2024,4,San Benito,107,579,18%
2024,4,San Bernardino,4138,21375,19%
2024,4,San Diego,9329,35661,26%
2024,4,San Francisco,2254,6477,35%
2024,4,San Joaquin,1409,5954,24%
2024,4,San Luis Obispo,463,2116,22%
2024,4,San Mateo,3241,10801,30%
2024,4,Santa Barbara,801,3510,23%
2024,4,Santa Clara,9613,22538,43%
2024,4,Santa Cruz,466,1782,26%
2024,4,Shasta,114,1089,10%
2024,4,Sierra,0,15,0%
2024,4,Siskiyou,17,216,8%
2024,4,Solano,769,3635,21%
2024,4,Sonoma,1010,4001,25%
2024,4,Stanislaus,536,3300,16%
2024,4,Sutter,75,591,13%
2024,4,Tehama,24,294,8%
2024,4,Trinity,3,48,6%
2024,4,Tulare,285,2808,10%
2024,4,Tuolumne,32,310,10%
2024,4,Ventura,2323,9480,25%
2024,4,Yolo,399,1816,22%
2024,4,Yuba,72,462,16%
2023,1,Alameda,6954,16351,43%
2023,1,Alpine,4,10,40%
2023,1,Amador,28,248,11%
2023,1,Butte,139,1254,11%
2023,1,Calaveras,42,330,13%
2023,1,Colusa,4,129,3%
2023,1,Contra Costa,3531,11275,31%
2023,1,Del Norte,6,118,5%
2023,1,El Dorado,313,1595,20%
2023,1,Fresno,774,6504,12%
2023,1,Glenn,10,163,6%
2023,1,Humboldt,95,628,15%
2023,1,Imperial,90,1926,5%
2023,1,Inyo,9,158,6%
2023,1,Kern,623,6481,10%
2023,1,Kings,55,926,6%
2023,1,Lake,28,275,10%
2023,1,Lassen,4,106,4%
2023,1,Los Angeles,28589,123218,23%
2023,1,Madera,80,917,9%
